iter	Passed	Remaining
0	59	59816
1	60	30047
2	60	20132
3	60	15167
4	61	12190
5	61	10207
6	61	8792
7	62	7728
8	62	6902
9	63	6248
10	63	5704
11	63	5258
12	64	4894
13	64	4565
14	65	4295
15	65	4047
16	66	3833
17	66	3635
18	66	3457
19	67	3296
20	67	3151
21	67	3019
22	68	2899
23	68	2788
24	68	2687
25	69	2593
26	69	2505
27	69	2425
28	70	2349
29	70	2278
30	70	2214
31	71	2155
32	71	2097
33	71	2042
34	72	1990
35	72	1945
36	72	1898
37	73	1854
38	73	1814
39	74	1778
40	74	1740
41	74	1703
42	74	1669
43	75	1635
44	75	1604
45	75	1573
46	76	1558
47	77	1530
48	77	1502
49	77	1477
50	78	1452
51	78	1428
52	78	1405
53	78	1383
54	79	1362
55	79	1341
56	79	1321
57	80	1301
58	80	1282
59	80	1264
60	81	1247
61	81	1230
62	81	1214
63	81	1199
64	82	1184
65	82	1169
66	82	1154
67	83	1140
68	83	1126
69	83	1112
70	84	1099
71	84	1086
72	84	1073
73	84	1061
74	85	1049
75	85	1039
76	85	1028
77	86	1017
78	86	1006
79	86	995
80	86	985
81	87	975
82	87	964
83	87	956
84	87	947
85	88	938
86	88	929
87	88	921
88	89	912
89	89	905
90	89	897
91	90	889
92	90	881
93	90	874
94	90	866
95	91	859
96	91	853
97	91	845
98	92	839
99	92	832
100	92	827
101	93	820
102	93	814
103	93	807
104	94	801
105	94	795
106	94	789
107	94	782
108	95	776
109	95	770
110	95	765
111	95	760
112	96	755
113	96	749
114	96	744
115	96	738
116	97	733
117	97	728
118	97	722
119	97	717
120	98	712
121	98	707
122	98	702
123	98	698
124	99	693
125	99	689
126	99	684
127	99	680
128	100	676
129	100	672
130	100	667
131	100	663
132	101	659
133	101	655
134	101	651
135	101	647
136	102	644
137	102	640
138	102	636
139	103	632
140	103	629
141	103	624
142	103	621
143	103	617
144	104	614
145	104	611
146	104	608
147	105	605
148	105	602
149	105	599
150	105	595
151	106	592
152	106	589
153	106	586
154	107	583
155	107	580
156	107	578
157	107	575
158	108	572
159	108	569
160	108	565
161	108	563
162	109	560
163	109	557
164	109	555
165	109	552
166	110	549
167	110	547
168	110	544
169	111	542
170	111	540
171	111	537
172	111	535
173	112	532
174	112	530
175	112	527
176	113	525
177	113	523
178	113	521
179	114	520
180	114	518
181	114	516
182	115	514
183	115	512
184	115	509
185	116	507
186	116	505
187	116	503
188	116	501
189	117	499
190	117	496
191	117	495
192	117	493
193	118	491
194	118	488
195	118	486
196	119	485
197	119	483
198	119	481
199	119	479
200	120	477
201	120	475
202	120	473
203	120	472
204	121	470
205	121	468
206	121	466
207	122	464
208	122	463
209	122	461
210	122	459
211	123	458
212	123	456
213	123	454
214	124	453
215	124	451
216	124	450
217	124	448
218	125	446
219	125	444
220	125	443
221	125	441
222	126	440
223	126	438
224	126	436
225	127	435
226	127	433
227	127	432
228	127	430
229	128	429
230	128	427
231	128	426
232	129	425
233	129	423
234	129	421
235	129	420
236	130	418
237	130	417
238	130	415
239	130	414
240	131	413
241	131	411
242	131	410
243	131	408
244	132	407
245	132	406
246	133	405
247	133	404
248	133	402
249	133	401
250	134	400
251	134	398
252	134	397
253	134	396
254	135	395
255	135	394
256	136	393
257	136	392
258	136	391
259	136	389
260	137	388
261	137	387
262	137	385
263	138	384
264	138	383
265	138	382
266	138	381
267	139	380
268	139	379
269	139	378
270	140	377
271	140	376
272	140	374
273	141	373
274	141	372
275	141	371
276	142	370
277	142	369
278	142	368
279	142	367
280	143	366
281	143	365
282	143	364
283	144	363
284	144	362
285	144	361
286	145	360
287	145	359
288	145	358
289	146	357
290	146	356
291	146	355
292	146	354
293	147	353
294	147	352
295	147	351
296	147	350
297	148	349
298	148	348
299	148	347
300	149	346
301	149	345
302	149	344
303	150	344
304	150	343
305	151	342
306	151	341
